x,y,z,p0,p1
-3.140157e-03,5.991777e-02,1.277778e-01,1.000000e+00,9.986295e-01
-3.140157e-03,5.991777e-02,1.444444e-01,1.000000e+00,9.986295e-01
0.000000e+00,6.000000e-02,1.444444e-01,1.000000e+00,1.000000e+00
-3.140157e-03,5.991777e-02,1.388889e-01,1.000000e+00,9.986295e-01
-3.140157e-03,5.991777e-02,1.500000e-01,1.000000e+00,9.986295e-01
-3.140157e-03,5.991777e-02,1.666667e-01,1.000000e+00,9.986295e-01
0.000000e+00,6.000000e-02,1.666667e-01,1.000000e+00,1.000000e+00
-3.140157e-03,5.991777e-02,1.611111e-01,1.000000e+00,9.986295e-01
-3.140157e-03,5.991777e-02,1.722222e-01,1.000000e+00,9.986295e-01
0.000000e+00,6.000000e-02,5.555556e-03,1.000000e+00,1.000000e+00
-9.386068e-03,5.926130e-02,1.463573e-18,1.000000e+00,9.876883e-01
-1.247470e-02,5.868886e-02,1.530536e-18,1.000000e+00,9.781476e-01
-9.386068e-03,5.926130e-02,5.555556e-03,1.000000e+00,9.876883e-01
-1.093413e-02,5.899529e-02,1.497568e-18,1.000000e+00,9.832549e-01
-9.386068e-03,5.926130e-02,2.777778e-03,1.000000e+00,9.876883e-01
-1.093413e-02,5.899529e-02,2.777778e-03,1.000000e+00,9.832549e-01
-1.552914e-02,5.795555e-02,1.593304e-18,1.000000e+00,9.659258e-01
-1.552914e-02,5.795555e-02,5.555556e-03,1.000000e+00,9.659258e-01
-1.400672e-02,5.834220e-02,1.562456e-18,1.000000e+00,9.723699e-01
-1.400672e-02,5.834220e-02,2.777778e-03,1.000000e+00,9.723699e-01
-1.552914e-02,5.795555e-02,2.777778e-03,1.000000e+00,9.659258e-01
-1.247470e-02,5.868886e-02,5.555556e-03,1.000000e+00,9.781476e-01
-2.150208e-02,5.601483e-02,3.169152e-18,1.000000e+00,9.335804e-01
-2.440420e-02,5.481273e-02,3.285313e-18,1.000000e+00,9.135455e-01
-2.150208e-02,5.601483e-02,5.555556e-03,1.000000e+00,9.335804e-01
-2.150208e-02,5.601483e-02,2.777778e-03,1.000000e+00,9.335804e-01
-2.296101e-02,5.543277e-02,2.777778e-03,1.000000e+00,9.238795e-01
-2.296101e-02,5.543277e-02,3.228339e-18,1.000000e+00,9.238795e-01
