x,y,z,real,imag
-1.8604259490966796e-02,-3.9224422454833985e-02,-1.1540224456787110e-01,3.7295551699919149e-01,1.3100133101017861e+00
-3.4428039550781248e-02,-3.9481300354003906e-02,-1.1539902496337891e-01,4.1042482270201874e-01,1.6162395935118234e+00
-5.0055168151855470e-02,-3.9828552246093753e-02,-1.1533087921142578e-01,4.4854856555022604e-01,1.8918833389635041e+00
6.9988548278808599e-02,1.1323255157470703e-01,-2.1685620117187501e-01,2.1099268540157290e+00,7.7405787068099663e-01
-8.0354591369628900e-02,-3.6394973754882813e-02,-1.1811480712890625e-01,5.5339173138856190e-01,2.4326193295807084e+00
8.1417221069335938e-02,1.2377278137207032e-01,-2.1631417846679687e-01,2.1265886676323489e+00,1.0782906804368271e+00
-1.3614909362792968e-01,5.3058612823486326e-02,-1.9884408569335937e-01,1.5332174149130715e+00,4.0509290875093686e+00
-1.5115808105468750e-01,2.0244670867919923e-02,-1.8372221374511719e-01,1.2285554788169393e+00,3.8349124476939531e+00
-1.5236633300781249e-01,2.0381818771362303e-02,-1.7607954406738283e-01,1.2091979170565665e+00,3.8594907202662716e+00
1.1639330291748047e-01,1.3149235534667969e-01,-1.8276802062988282e-01,2.0350920615178092e+00,1.9540793778515648e+00
1.3216373443603515e-02,8.9711151123046881e-02,-2.0292288208007814e-01,2.1429127883692152e+00,1.0479368137202691e+00
3.3001987457275388e-02,-3.1780004501342773e-02,-1.1539994049072265e-01,2.9609216477982425e-01,2.5914250115391457e-01
3.4538860321044924e-02,7.8402725219726563e-02,-2.1171853637695312e-01,2.0045807240140068e+00,-8.7650539255951010e-02
2.9428138732910156e-02,8.1315238952636718e-02,-2.1004420471191407e-01,2.0477000544298867e+00,2.0599465098889036e-01
9.3148460388183599e-02,1.3219992065429687e-01,-2.0994181823730468e-01,2.1272092885369212e+00,1.3896606691254068e+00
8.8390510559082036e-02,2.6489601135253907e-02,-1.3968843078613280e-01,5.6261691946047621e-01,3.6058756111767787e-02
8.6865646362304691e-02,2.7720577239990236e-02,-1.3141319274902344e-01,5.8668908292603761e-01,2.2345423709954448e-01
-1.3504165649414063e-01,-2.1545495986938477e-02,-1.5090405273437499e-01,8.3011197998734476e-01,3.2541766114712378e+00
-1.3539257812500000e-01,-1.3982502937316895e-02,-1.5013542175292968e-01,8.8366913078994824e-01,3.3850599086912272e+00
-2.9735128879547117e-03,8.0785667419433591e-02,-1.1524430084228515e-01,1.2722838317841250e+00,3.3071581832535499e+00
-9.3916748046874998e-02,7.4187026977539067e-02,-2.0710261535644531e-01,1.8655660255055220e+00,3.8071606859738965e+00
1.2256365966796876e-01,1.2631815338134766e-01,-1.8210995483398437e-01,2.0173509342905307e+00,1.8894981432616760e+00
-1.5201690673828125e-01,-3.7628301978111266e-04,-1.7184004211425782e-01,1.0480886219385326e+00,3.6018855569378632e+00
-1.4070515441894532e-01,-9.1637935638427728e-03,-1.5308125305175782e-01,9.3333599413994950e-01,3.4777031928670938e+00
1.1590336608886719e-01,9.4106689453125003e-02,-1.4765577697753907e-01,1.5849505853432166e+00,2.2953004130336248e+00
1.0627209472656250e-01,7.5852355957031256e-02,-1.4648674011230470e-01,1.3234686664603810e+00,2.0494887988959096e+00
-1.5154461669921876e-01,2.7298500061035156e-02,-1.8040624999999999e-01,1.2708286811244986e+00,3.9238284803965113e+00
-9.4087402343750001e-02,-2.2170005798339845e-02,-1.4425653076171874e-01,7.0613816918971739e-01,2.9703740704382233e+00
1.2031017303466797e-01,1.1052172851562500e-01,-1.5477568054199220e-01,1.7833351094045442e+00,2.3281072060312491e+00
